[38.6],[90.  84.   0.   0.  60.4  0.   0.  44.2],[ 0.  0. 30. 70.  0. 80. 60.  0.]
[-121.2],[90.  78.   0.   0.  80.8  0.   0.   0. ],[ 0.  0. 60. 70.  0. 80. 90. 70.]
[-147.92],[90.   82.    0.    0.   80.08  0.    0.    0.  ],[ 0.  0. 80. 70.  0. 80. 90. 80.]
[-78.16],[90.   78.    0.    0.   73.84  0.    0.    0.  ],[ 0.  0. 10. 70.  0. 80. 90. 70.]
[-143.],[90. 74.  0.  0. 73.  0.  0.  0.],[ 0.  0. 60. 70.  0. 80. 90. 80.]
[-81.88],[90.   80.    0.    0.   58.12  0.    0.    0.  ],[ 0.  0. 70. 70.  0. 80. 20. 70.]
[-104.36],[90.   80.    0.    0.   75.64  0.    0.    0.  ],[ 0.  0. 30. 80.  0. 80. 90. 70.]
[-87.44],[90.   76.    0.    0.   56.56  0.    0.    0.  ],[ 0.  0. 60. 70.  0. 80. 20. 80.]
[-33.6],[90.  78.   0.   0.  78.4  0.   0.   0. ],[ 0.  0. 40. 70.  0. 70. 50. 50.]
[-165.12],[90.   84.    0.    0.   90.88  0.    0.    0.  ],[  0.   0.  80.  80.   0. 100.  90.  80.]
