[-133.92],[90.   80.    0.    0.   86.08  0.    0.    0.  ],[ 0.  0. 70. 70.  0. 80. 90. 80.]
[-117.64],[90.   78.    0.    0.   94.36  0.    0.    0.  ],[  0.   0.  50.  60.   0. 100.  90.  80.]
[-57.44],[90.   82.    0.    0.   80.56  0.    0.    0.  ],[ 0.  0. 80. 70.  0. 80. 10. 70.]
[-49.6],[90.  82.   0.   0.  78.4  0.   0.   0. ],[ 0.  0. 50. 80.  0. 60. 40. 70.]
[-146.76],[90.   80.    0.    0.   73.24  0.    0.    0.  ],[ 0.  0. 70. 80.  0. 80. 90. 70.]
[-115.44],[90.   82.    0.    0.   92.56  0.    0.    0.  ],[  0.   0.  20.  80.   0. 100. 100.  80.]
[-73.36],[90.   78.    0.    0.   78.64  0.    0.    0.  ],[ 0.  0. 50. 70.  0. 90. 40. 70.]
[-49.24],[90.   74.    0.    0.   66.76  0.    0.    0.  ],[ 0.  0. 60. 70.  0. 40. 20. 90.]
[-168.6],[90.  80.   0.   0.  81.4  0.   0.   0. ],[  0.   0.  70.  70.   0. 100. 100.  80.]
[-156.2],[90.  80.   0.   0.  83.8  0.   0.   0. ],[  0.   0.  60.  70.   0. 100.  90.  90.]
