

gen best mean std
0 92.572379 7.826381 28.719392
1 92.572379 33.294804 36.725445
2 92.572379 64.528746 28.341251
3 92.572379 70.730486 26.151259
4 93.127 79.78316 19.285844
5 93.127 79.743679 20.156148
6 93.127 82.178491 16.781665
7 93.127 83.122082 16.219283
8 93.127 84.618881 12.726977
9 93.127 81.758656 17.806408
10 93.127 81.159601 18.246091
11 93.127 83.098087 17.304574
12 93.127 81.82808 20.98233
13 93.127 85.785265 15.273134
14 93.127 84.463353 17.916245
15 93.127 85.684892 16.819183
16 93.527 86.242684 15.732303
