[-221.36],[ 0.   74.    0.    0.   54.64  0.    0.    0.  ],[70.  0. 70. 70.  0. 30. 20. 90.]
[-18.96],[ 0.   72.    0.    0.   56.44  0.    0.   22.6 ],[80.  0. 30. 40.  0. 10. 10.  0.]
[-185.44],[ 0.   64.    0.    0.   59.56  1.    0.    0.  ],[80.  0. 70. 70.  0.  0. 20. 70.]
[-113.04],[ 0.   68.    0.    0.   58.96  0.    0.    0.  ],[80.  0. 30. 40.  0. 10. 10. 70.]
[-229.12],[ 0.   46.    0.    0.   54.88  0.    0.    0.  ],[70.  0. 60. 80.  0. 10. 40. 70.]
[-148.96],[ 0.   74.    0.    0.   57.04  0.    0.    0.  ],[70.  0. 70. 70.  0. 20. 20. 30.]
[-164.44],[ 0.   58.    0.    0.   47.56  0.    0.    0.  ],[80.  0. 70. 60.  0. 10. 20. 30.]
[-272.52],[ 0.   46.    0.    0.   31.48  0.    0.    0.  ],[100.   0.  60.  70.   0.  10.  30.  80.]
[-144.12],[ 0.   82.    0.    0.   33.88  0.    0.    0.  ],[70.  0. 60. 40.  0. 10. 20. 60.]
[-141.84],[ 0.   74.    0.    0.   54.16  0.    0.    0.  ],[70.  0. 70. 70.  0. 20. 10. 30.]
